"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1394","previz_user_id cookie has Secure flag @security","mobile-chrome","Mon Mar 02 12:20:55 UTC 2026","passed","Mon Mar 02 12:20:57 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","1125","emoji prompt is accepted @api","webkit","Mon Mar 02 12:20:54 UTC 2026","passed","Mon Mar 02 12:20:55 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","12930","shot headings show correct numbering @ui","chromium","Mon Mar 02 12:21:25 UTC 2026","passed","Mon Mar 02 12:21:38 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","2505","all 3 nav links visible on every page @smoke @ui","firefox","Mon Mar 02 12:21:19 UTC 2026","passed","Mon Mar 02 12:21:21 UTC 2026","Navigation","ui/navigation.spec.ts","",""
"","2078","duration dropdown has 4s, 8s (default), 12s @smoke @ui","webkit","Mon Mar 02 12:22:54 UTC 2026","passed","Mon Mar 02 12:22:57 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","2175","video cards display status badges @ui","firefox","Mon Mar 02 12:21:04 UTC 2026","passed","Mon Mar 02 12:21:06 UTC 2026","History Page","ui/history.spec.ts","",""
"","17112","two-scene script extracts multiple shots with editable prompts @ui","webkit","Mon Mar 02 12:22:07 UTC 2026","passed","Mon Mar 02 12:22:24 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","10664","shot headings show correct numbering @ui","firefox","Mon Mar 02 12:21:51 UTC 2026","passed","Mon Mar 02 12:22:01 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","326","GET /api/video-history returns videos array with expected shape @api @smoke @regression","firefox","Mon Mar 02 12:20:45 UTC 2026","passed","Mon Mar 02 12:20:45 UTC 2026","Generation Pipeline API","api/generation-pipeline.spec.ts","",""
"","7374","History page should have no a11y violations @a11y @regression","webkit","Mon Mar 02 12:20:44 UTC 2026","passed","Mon Mar 02 12:20:51 UTC 2026","Accessibility — WCAG 2.1 AA Scans","a11y/page-scans.spec.ts","",""
"","11824","unicode screenplay text parses without errors @ui","chromium","Mon Mar 02 12:20:56 UTC 2026","passed","Mon Mar 02 12:21:08 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","314","API endpoints do not expose server version headers @api @security","firefox","Mon Mar 02 12:21:00 UTC 2026","passed","Mon Mar 02 12:21:01 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","6900","polling starts after generation trigger @smoke @ui","webkit","Mon Mar 02 12:20:40 UTC 2026","passed","Mon Mar 02 12:20:47 UTC 2026","Studio Generation (mocked)","ui/studio.spec.ts","",""
"","550","empty script keeps parse button disabled @ui","chromium","Mon Mar 02 12:20:45 UTC 2026","passed","Mon Mar 02 12:20:45 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","362","aspect ratio dropdown: Landscape (default), Portrait @smoke @ui","chromium","Mon Mar 02 12:21:31 UTC 2026","passed","Mon Mar 02 12:21:31 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","593","page loads with Video History heading @smoke @ui","chromium","Mon Mar 02 12:20:38 UTC 2026","passed","Mon Mar 02 12:20:39 UTC 2026","History Page","ui/history.spec.ts","",""
"","30178","HQ warning should be hidden when toggle is off after reload @ui @regression","mobile-chrome","Mon Mar 02 12:22:14 UTC 2026","broken","Mon Mar 02 12:22:44 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","1807","generate-video with invalid duration returns error @api","firefox","Mon Mar 02 12:20:50 UTC 2026","passed","Mon Mar 02 12:20:52 UTC 2026","Negative Paths — API Contract Edge Cases","api/negative-paths.spec.ts","",""
"","1462","path traversal in prompt does not cause server error @api @security","firefox","Mon Mar 02 12:20:56 UTC 2026","passed","Mon Mar 02 12:20:58 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","1721","generate-video with invalid duration returns error @api","webkit","Mon Mar 02 12:20:52 UTC 2026","passed","Mon Mar 02 12:20:53 UTC 2026","Negative Paths — API Contract Edge Cases","api/negative-paths.spec.ts","",""
"","749","parse button disabled when textarea empty, enabled when filled @smoke @ui","mobile-chrome","Mon Mar 02 12:21:08 UTC 2026","passed","Mon Mar 02 12:21:09 UTC 2026","Stock Footage Page","ui/stock-footage.spec.ts","",""
"","604","Your Videos tab shows empty state for fresh browser @ui","chromium","Mon Mar 02 12:20:41 UTC 2026","passed","Mon Mar 02 12:20:42 UTC 2026","History Page — Fresh Session","ui/history.spec.ts","",""
"","5618","studio generation form accessible at mobile width @ui @regression","mobile-chrome","Mon Mar 02 12:21:00 UTC 2026","passed","Mon Mar 02 12:21:05 UTC 2026","Mobile Viewport — Responsive Layout","ui/mobile.spec.ts","",""
"","492","default aspect ratio is Portrait @smoke @ui","chromium","Mon Mar 02 12:21:09 UTC 2026","passed","Mon Mar 02 12:21:09 UTC 2026","Stock Footage Page","ui/stock-footage.spec.ts","",""
"","612","generate button enables on input, disables on clear @smoke @ui","firefox","Mon Mar 02 12:22:02 UTC 2026","passed","Mon Mar 02 12:22:03 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","3031","completed videos have playable video elements @ui @regression","webkit","Mon Mar 02 12:21:01 UTC 2026","skipped","Mon Mar 02 12:21:04 UTC 2026","History Page","ui/history.spec.ts","",""
"","759","generate button enables on input, disables on clear @smoke @ui","mobile-chrome","Mon Mar 02 12:21:10 UTC 2026","passed","Mon Mar 02 12:21:10 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","986","generate button disabled when prompt empty @smoke @ui","mobile-chrome","Mon Mar 02 12:21:10 UTC 2026","passed","Mon Mar 02 12:21:11 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","20802","special characters in screenplay parse correctly @ui","chromium","Mon Mar 02 12:21:08 UTC 2026","passed","Mon Mar 02 12:21:29 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","855","video settings present with correct defaults @smoke @ui","firefox","Mon Mar 02 12:21:46 UTC 2026","passed","Mon Mar 02 12:21:47 UTC 2026","Stock Footage Page","ui/stock-footage.spec.ts","",""
"","714","video count spinner defaults to 3 with min=1 max=5 @smoke @ui","mobile-chrome","Mon Mar 02 12:21:10 UTC 2026","passed","Mon Mar 02 12:21:11 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","14828","generate button appears with correct video count @ui","chromium","Mon Mar 02 12:21:26 UTC 2026","passed","Mon Mar 02 12:21:40 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","645","very long prompt is handled without 500 @api","webkit","Mon Mar 02 12:20:54 UTC 2026","passed","Mon Mar 02 12:20:55 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","101","studio handles generate-video 500 gracefully @ui @regression","chromium","Mon Mar 02 12:20:32 UTC 2026","skipped","Mon Mar 02 12:20:32 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","724","parse button disabled when textarea empty, enabled when filled @smoke @ui","firefox","Mon Mar 02 12:21:45 UTC 2026","passed","Mon Mar 02 12:21:45 UTC 2026","Stock Footage Page","ui/stock-footage.spec.ts","",""
"","2006","button text reflects video count @smoke @ui","webkit","Mon Mar 02 12:22:51 UTC 2026","passed","Mon Mar 02 12:22:53 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","19354","failed videos show error message @ui","webkit","Mon Mar 02 12:21:02 UTC 2026","passed","Mon Mar 02 12:21:22 UTC 2026","History Page","ui/history.spec.ts","",""
"","6089","HQ warning should be hidden when toggle is off after reload @ui @regression","firefox","Mon Mar 02 12:22:06 UTC 2026","passed","Mon Mar 02 12:22:13 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","1222","generate-video with invalid aspect_ratio returns error @api","webkit","Mon Mar 02 12:20:50 UTC 2026","passed","Mon Mar 02 12:20:51 UTC 2026","Negative Paths — API Contract Edge Cases","api/negative-paths.spec.ts","",""
"","283","video-history with negative offset returns error or empty @api","chromium","Mon Mar 02 12:20:33 UTC 2026","passed","Mon Mar 02 12:20:33 UTC 2026","Negative Paths — API Contract Edge Cases","api/negative-paths.spec.ts","",""
"","3968","History page should have no a11y violations @a11y @regression","firefox","Mon Mar 02 12:20:42 UTC 2026","passed","Mon Mar 02 12:20:46 UTC 2026","Accessibility — WCAG 2.1 AA Scans","a11y/page-scans.spec.ts","",""
"","1517","All Videos tab shows videos with count > 0 @smoke @ui","mobile-chrome","Mon Mar 02 12:20:57 UTC 2026","passed","Mon Mar 02 12:20:59 UTC 2026","History Page","ui/history.spec.ts","",""
"","2204","generation trigger transitions to rendering state @smoke @ui @regression","firefox","Mon Mar 02 12:20:38 UTC 2026","passed","Mon Mar 02 12:20:40 UTC 2026","Studio Generation (mocked)","ui/studio.spec.ts","",""
"","1346","video-history with huge limit is handled @api","firefox","Mon Mar 02 12:20:52 UTC 2026","passed","Mon Mar 02 12:20:53 UTC 2026","Negative Paths — API Contract Edge Cases","api/negative-paths.spec.ts","",""
"","621","generation trigger transitions to rendering state @smoke @ui @regression","mobile-chrome","Mon Mar 02 12:21:11 UTC 2026","skipped","Mon Mar 02 12:21:12 UTC 2026","Studio Generation (mocked)","ui/studio.spec.ts","",""
"","735","very long prompt is handled without 500 @api","mobile-chrome","Mon Mar 02 12:20:54 UTC 2026","passed","Mon Mar 02 12:20:55 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","611","generate button disabled when prompt empty @smoke @ui","chromium","Mon Mar 02 12:21:29 UTC 2026","passed","Mon Mar 02 12:21:29 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","340","video history should have valid aspect_ratio values @api @regression","mobile-chrome","Mon Mar 02 12:20:51 UTC 2026","passed","Mon Mar 02 12:20:51 UTC 2026","Generation Pipeline — Data Integrity","api/generation-pipeline.spec.ts","",""
"","634","empty script keeps parse button disabled @ui","mobile-chrome","Mon Mar 02 12:21:06 UTC 2026","passed","Mon Mar 02 12:21:07 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","1002","unknown route returns 404 @smoke @ui","firefox","Mon Mar 02 12:21:21 UTC 2026","passed","Mon Mar 02 12:21:22 UTC 2026","Navigation","ui/navigation.spec.ts","",""
"","93","GET /api/video-status without taskId returns 400 @api @smoke","webkit","Mon Mar 02 12:20:46 UTC 2026","passed","Mon Mar 02 12:20:46 UTC 2026","Generation Pipeline API","api/generation-pipeline.spec.ts","",""
"","1361","studio handles video-status polling timeout @ui @regression","firefox","Mon Mar 02 12:20:49 UTC 2026","passed","Mon Mar 02 12:20:50 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","438","generation trigger transitions to rendering state @smoke @ui @regression","chromium","Mon Mar 02 12:21:38 UTC 2026","passed","Mon Mar 02 12:21:38 UTC 2026","Studio Generation (mocked)","ui/studio.spec.ts","",""
"","514","homepage loads with title and heading @smoke @ui","chromium","Mon Mar 02 12:20:42 UTC 2026","passed","Mon Mar 02 12:20:42 UTC 2026","Navigation","ui/navigation.spec.ts","",""
"","14257","special characters in screenplay parse correctly @ui","firefox","Mon Mar 02 12:21:36 UTC 2026","passed","Mon Mar 02 12:21:51 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","6383","Load More button appears and loads additional videos @ui","webkit","Mon Mar 02 12:21:05 UTC 2026","passed","Mon Mar 02 12:21:11 UTC 2026","History Page","ui/history.spec.ts","",""
"","119","studio handles generate-video network failure @ui @regression","chromium","Mon Mar 02 12:20:32 UTC 2026","skipped","Mon Mar 02 12:20:32 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","3139","previz_user_id cookie has HttpOnly flag @security","firefox","Mon Mar 02 12:20:58 UTC 2026","passed","Mon Mar 02 12:21:01 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","679","unicode screenplay text parses without errors @ui","mobile-chrome","Mon Mar 02 12:21:07 UTC 2026","skipped","Mon Mar 02 12:21:08 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","34","response includes X-Frame-Options @api @security","firefox","Mon Mar 02 12:20:58 UTC 2026","passed","Mon Mar 02 12:20:58 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","2605","empty script keeps parse button disabled @ui","firefox","Mon Mar 02 12:21:24 UTC 2026","passed","Mon Mar 02 12:21:27 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","3852","logo returns to Studio from any page @smoke @ui","webkit","Mon Mar 02 12:21:11 UTC 2026","passed","Mon Mar 02 12:21:15 UTC 2026","Navigation","ui/navigation.spec.ts","",""
"","1420","stock footage handles parse failure @ui @regression","firefox","Mon Mar 02 12:20:49 UTC 2026","passed","Mon Mar 02 12:20:50 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","495","polling starts after generation trigger @smoke @ui","chromium","Mon Mar 02 12:21:38 UTC 2026","passed","Mon Mar 02 12:21:39 UTC 2026","Studio Generation (mocked)","ui/studio.spec.ts","",""
"","394","duration dropdown has 4s, 8s (default), 12s @smoke @ui","chromium","Mon Mar 02 12:21:31 UTC 2026","passed","Mon Mar 02 12:21:31 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","1405","whitespace-only script keeps parse button disabled @ui","firefox","Mon Mar 02 12:21:23 UTC 2026","passed","Mon Mar 02 12:21:24 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","1570","Your Videos tab shows empty state for fresh browser @ui","mobile-chrome","Mon Mar 02 12:20:59 UTC 2026","passed","Mon Mar 02 12:21:00 UTC 2026","History Page — Fresh Session","ui/history.spec.ts","",""
"","1286","template literal in prompt does not leak env vars @api @security","firefox","Mon Mar 02 12:20:57 UTC 2026","passed","Mon Mar 02 12:20:58 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","229","GET /api/video-status without taskId returns 400 @api @smoke","mobile-chrome","Mon Mar 02 12:20:49 UTC 2026","passed","Mon Mar 02 12:20:49 UTC 2026","Generation Pipeline API","api/generation-pipeline.spec.ts","",""
"","777","unicode prompt is accepted @api","mobile-chrome","Mon Mar 02 12:20:54 UTC 2026","passed","Mon Mar 02 12:20:55 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","5754","HQ warning should be hidden when toggle is off after reload @ui @regression","chromium","Mon Mar 02 12:21:32 UTC 2026","passed","Mon Mar 02 12:21:38 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","1343","innocent short prompts should not be flagged by moderation @api @regression","webkit","Mon Mar 02 12:20:48 UTC 2026","passed","Mon Mar 02 12:20:50 UTC 2026","Generation Pipeline — Data Integrity","api/generation-pipeline.spec.ts","",""
"","2811","failed videos show error message @ui","chromium","Mon Mar 02 12:20:40 UTC 2026","passed","Mon Mar 02 12:20:43 UTC 2026","History Page","ui/history.spec.ts","",""
"","666","whitespace-only script keeps parse button disabled @ui","mobile-chrome","Mon Mar 02 12:21:07 UTC 2026","passed","Mon Mar 02 12:21:07 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","633","video count spinner defaults to 3 with min=1 max=5 @smoke @ui","firefox","Mon Mar 02 12:22:03 UTC 2026","passed","Mon Mar 02 12:22:04 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","1036","page loads with Video History heading @smoke @ui","mobile-chrome","Mon Mar 02 12:20:57 UTC 2026","passed","Mon Mar 02 12:20:58 UTC 2026","History Page","ui/history.spec.ts","",""
"","588","text without scene headings still parses @ui","mobile-chrome","Mon Mar 02 12:21:07 UTC 2026","skipped","Mon Mar 02 12:21:08 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","344","video count spinner defaults to 3 with min=1 max=5 @smoke @ui","chromium","Mon Mar 02 12:21:30 UTC 2026","passed","Mon Mar 02 12:21:31 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","577","XSS payload in history is rendered as text, not executed @security","chromium","Mon Mar 02 12:20:35 UTC 2026","passed","Mon Mar 02 12:20:35 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","583","studio handles video-status polling timeout @ui @regression","chromium","Mon Mar 02 12:20:32 UTC 2026","passed","Mon Mar 02 12:20:33 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","25","response includes Content-Security-Policy header @api @security","firefox","Mon Mar 02 12:20:58 UTC 2026","passed","Mon Mar 02 12:20:58 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","1898","unknown route returns 404 @smoke @ui","webkit","Mon Mar 02 12:21:15 UTC 2026","passed","Mon Mar 02 12:21:17 UTC 2026","Navigation","ui/navigation.spec.ts","",""
"","10913","single word input parses without crash @ui","firefox","Mon Mar 02 12:21:24 UTC 2026","passed","Mon Mar 02 12:21:35 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","966","studio handles generate-video network failure @ui @regression","webkit","Mon Mar 02 12:20:49 UTC 2026","skipped","Mon Mar 02 12:20:50 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","3525","Stock Footage page should have no a11y violations @a11y @regression","firefox","Mon Mar 02 12:20:38 UTC 2026","passed","Mon Mar 02 12:20:41 UTC 2026","Accessibility — WCAG 2.1 AA Scans","a11y/page-scans.spec.ts","",""
"","2578","whitespace-only script keeps parse button disabled @ui","webkit","Mon Mar 02 12:21:16 UTC 2026","passed","Mon Mar 02 12:21:19 UTC 2026","Stock Footage — Script Parsing Edge Cases","ui/stock-footage-edge.spec.ts","",""
"","27","response includes Strict-Transport-Security @api @security","mobile-chrome","Mon Mar 02 12:20:55 UTC 2026","passed","Mon Mar 02 12:20:55 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","942","GET /api/video-status with valid taskId returns status object @api","webkit","Mon Mar 02 12:20:46 UTC 2026","passed","Mon Mar 02 12:20:47 UTC 2026","Generation Pipeline API","api/generation-pipeline.spec.ts","",""
"","10793","two-scene script extracts multiple shots with editable prompts @ui","firefox","Mon Mar 02 12:21:47 UTC 2026","passed","Mon Mar 02 12:21:58 UTC 2026","Stock Footage — Script Parsing","ui/stock-footage.spec.ts","",""
"","875","button text reflects video count @smoke @ui","mobile-chrome","Mon Mar 02 12:21:10 UTC 2026","passed","Mon Mar 02 12:21:11 UTC 2026","Studio Page","ui/studio.spec.ts","",""
"","886","Load More button appears and loads additional videos @ui","mobile-chrome","Mon Mar 02 12:20:59 UTC 2026","skipped","Mon Mar 02 12:21:00 UTC 2026","History Page","ui/history.spec.ts","",""
"","2716","stock footage handles parse failure @ui @regression","webkit","Mon Mar 02 12:20:50 UTC 2026","passed","Mon Mar 02 12:20:52 UTC 2026","Negative Paths — API Down & Error States","api/negative-paths.spec.ts","",""
"","802","video settings present with correct defaults @smoke @ui","mobile-chrome","Mon Mar 02 12:21:08 UTC 2026","passed","Mon Mar 02 12:21:09 UTC 2026","Stock Footage Page","ui/stock-footage.spec.ts","",""
"","24","response includes X-Frame-Options @api @security","chromium","Mon Mar 02 12:20:37 UTC 2026","passed","Mon Mar 02 12:20:37 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
"","589","unicode prompt is accepted @api","webkit","Mon Mar 02 12:20:54 UTC 2026","passed","Mon Mar 02 12:20:54 UTC 2026","Prompt Edge Cases — Security & Encoding","api/prompt-edge-cases.spec.ts","",""
"","2150","innocent short prompts should not be flagged by moderation @api @regression","firefox","Mon Mar 02 12:20:47 UTC 2026","passed","Mon Mar 02 12:20:49 UTC 2026","Generation Pipeline — Data Integrity","api/generation-pipeline.spec.ts","",""
"","1062","previz_user_id cookie has SameSite attribute @security","chromium","Mon Mar 02 12:20:38 UTC 2026","passed","Mon Mar 02 12:20:39 UTC 2026","Security Headers Audit","api/security-headers.spec.ts","",""
